[metadata]
Code=PKM
Date=2023-06-14
Name=Pokémon
Type=Expansion
Booster=7 Common:!fromSheet("PKM Snow Lands"):fromSheet("PKM cards"), 4 Uncommon:fromSheet("PKM cards"), 1 RareMythic:fromSheet("PKM cards"), 1 fromSheet("PKM Snow Lands")
Prerelease=6 Boosters, RareMythic+
114 R Tangela
115 R Kangaskhan
116 C Horsea
117 U Seadra
118 C Goldeen
119 R Seaking
120 C Staryu
121 R Starmie
122 U Mr. Mime
123 U Scyther
124 R Jynx
125 R Electabuzz
126 R Magmar
127 U Pinsir
128 U Tauros
129 C Magikarp
130 M Gyarados
131 M Lapras
132 R Ditto
133 C Eevee
134 U Vaporeon
135 U Jolteon
136 U Flareon
137 C Porygon
138 C Omanyte
139 R Omastar
140 C Kabuto
141 R Kabutops
142 M Aerodactyl
143 R Snorlax
144 M Articuno
145 M Zapdos
146 M Moltres
147 C Dratini
148 U Dragonair
149 R Dragonite
150 M Mewtwo
151 M Mew
152 C Chikorita
153 C Bayleef
154 R Meganium
155 C Cyndaquil
156 C Quilava
157 R Typhlosion
158 C Totodile
159 C Croconaw
160 R Feraligatr
161 C Sentret
162 U Furret
163 C Hoothoot
164 R Noctowl
165 U Ledyba
166 U Ledian
167 C Spinarak
168 U Ariados
169 R Crobat
170 C Chinchou
171 U Lanturn
172 U Pichu
173 C Cleffa
174 C Igglybuff
175 U Togepi
176 R Togetic
177 C Natu
178 R Xatu
179 C Mareep
180 U Flaaffy
181 R Ampharos
182 R Bellossom
183 C Marill
184 U Azumarill
185 U Sudowoodo
186 R Politoed
187 C Hoppip
188 C Skiploom
189 R Jumpluff
190 C Aipom
191 U Sunkern
192 M Sunflora
193 U Yanma
194 C Wooper
195 C Quagsire
196 U Espeon
197 U Umbreon
198 U Murkrow
199 U Slowking
200 U Misdreavus
201 R Unown
202 C Wobbuffet
203 C Girafarig
204 C Pineco
205 R Forretress
206 U Dunsparce
207 U Gligar
208 M Steelix
209 C Snubbull
210 C Granbull
211 C Qwilfish
212 R Scizor
213 U Shuckle
214 U Heracross
215 U Sneasel
216 C Teddiursa
217 R Ursaring
218 U Slugma
219 U Magcargo
220 C Swinub
221 R Piloswine
222 U Corsola
223 C Remoraid
224 R Octillery
225 C Delibird
226 U Mantine
227 R Skarmory
228 C Houndour
229 M Houndoom
230 M Kingdra
231 U Phanpy
232 R Donphan
233 R Porygon2
234 C Stantler
235 U Smeargle
236 U Tyrogue
237 R Hitmontop
238 U Smoochum
239 U Elekid
240 C Magby
241 C Miltank
242 U Blissey
243 M Raikou
244 M Entei
245 M Suicune
246 C Larvitar
247 U Pupitar
248 R Tyranitar
249 M Lugia
250 M Ho-Oh
251 M Celebi
4000 U Team Rocket's Arbok
4001 C Team Rocket's Meowth
4002 U Team Rocket's Hitmonchan
4003 C Team Rocket's Lickitung
4004 U Team Rocket's Weezing
4005 U Team Rocket's Rhydon
4006 C Team Rocket's Magikarp
4007 M Team Rocket's Gyarados
4008 R Team Rocket's Tyranitar
4009 R Giovanni's Persian
4010 M Giovanni's Armor
4011 C Wild Pidgey
4012 C Wild Pidgeot
4013 U Wild Raticate
4014 U Wild Fearow
4015 U Wild Tauros
4016 U Wild Poliwhirl
4017 U Wild Tentacool
4018 C Wild Lapras
4019 C Wild Zubat
4020 C Wild Gastly
4021 C Wild Charmander
4022 C Wild Vulpix
4023 C Wild Ninetales
4024 U Wild Arcanine
4025 C Wild Typhlosion
4026 U Wild Ivysaur
4027 C Wild Venusaur
4028 C Wild Onix
4029 U Wild Scyther
4030 C Wild Kaputops
4031 U Wild Beedrill
4032 U Wild Tentacruel
4033 U Wild Pikachu
4034 U Wild Rhydon
4035 C Wild Bellossom
4036 M Master Ball
4037 C Mahogany Town Gym
4038 C Violet City Gym
4039 C Viridian City Gym
4040 C Cianwood City Gym
4041 C Olivine City Gym
4042 C Saffron City Gym
4043 C Vermilion City Gym
4044 C Cerulean City Gym
4045 C Ecruteak City Gym
4046 C Azalea Town Gym
4047 C Cinnabar Island Gym
4048 L Snow-Covered Plains
4049 L Snow-Covered Island
4050 L Snow-Covered Swamp
4051 L Snow-Covered Mountain
4052 L Snow-Covered Forest
4053 L Plains
4054 L Island
4055 L Swamp
4056 L Mountain
4057 L Forest
4058 L Wastes
4059 R Victory Road

[extended art]
7000 U Ivysaur
7001 U Charmeleon
7002 U Wartortle
7003 C Metapod
7004 C Kakuna
7005 C Pidgeotto
7006 C Pikachu
7007 C Nidorina
7008 C Nidorino
7009 C Clefairy
7010 U Jigglypuff
7011 C Golbat
7012 U Gloom Pokemon
7013 C Poliwhirl
7014 U Kadabra
7015 U Machoke
7016 C Weepinbell
7017 U Graveler
7018 U Haunter
7019 U Seadra
7020 U Dragonair
7021 C Bayleef
7022 C Quilava
7023 C Croconaw
7024 U Flaaffy
7025 C Skiploom
7026 U Pupitar

[borderless]
7027 C Bulbasaur
7028 U Ivysaur
7029 C Charmander
7030 C Squirtle
7031 C Metapod
7032 R Nidoqueen
7033 C Golbat
7034 U Abra
7035 U Kadabra
7036 M Alakazam
7037 R Tentacruel
7038 R Golem
7039 U Farfetch'd
7040 U Cloyster
7041 C Onix
7042 R Hitmonlee
7043 R Hitmonchan
7044 R Electabuzz
7045 R Magmar
7046 M Gyarados
7047 M Articuno
7048 M Zapdos
7049 M Moltres
7050 M Mewtwo
7051 C Chikorita
7052 M Sunflora
7053 M Lugia
7054 M Ho-Oh
7055 M Celebi
7056 M Team Rocket's Gyarados
7057 R Team Rocket's Tyranitar
7058 R Giovanni's Persian
7059 C Wild Onix
7060 U Wild Tentacruel

[Snow Lands]
5 Snow-Covered Plains|PKM
5 Snow-Covered Island|PKM
5 Snow-Covered Swamp|PKM
5 Snow-Covered Mountain|PKM
5 Snow-Covered Forest|PKM

[Gyms]
2 Mahogany Town Gym|PKM
2 Violet City Gym|PKM
2 Viridian City Gym|PKM
2 Cianwood City Gym|PKM
2 Olivine City Gym|PKM
2 Saffron City Gym|PKM
2 Vermilion City Gym|PKM
2 Cerulean City Gym|PKM
2 Ecruteak City Gym|PKM
2 Azalea Town Gym|PKM
2 Cinnabar Island Gym|PKM

[tokens]
g_0_1_plant_parasect
c_a_treasure_sac
c_a_food_sac
skarmory_feather
leek_blade
